id,meal_name,common_name,image_url,description,prep_time,servings,calories_kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,difficulty,estimated_cost_php,availability,tags,role_fit,meal_type,dietary_restrictions,ingredients,popularity_score
F011,"Pork Boston butt, fried","Baboy paypay, prito",https://rasamalaysia.com/wp-content/uploads/2022/03/fried-pork-shoulder.jpg,Filipino-style pork Boston butt (shoulder) seasoned and deep-fried until golden brown and crisp.,30 min,4,410,30,4,32,0.3,,630,88,Medium,100,availability,Classic dish; Crispy favorite; Protein-rich; Party food,"Students, Family",Lunch/Dinner,Contains pork; not suitable for low-fat diets or vegetarians/vegans,"Pork Boston butt (shoulder), salt, pepper, garlic, vinegar (optional marinade), cooking oil",5
F012,"Pork belly, seasoned, roasted","Baboy liempo, litson",https://pinchandswirl.com/wp-content/uploads/2024/06/oven-roasted-pork-belly-hero-4.jpg,Whole pork belly seasoned with classic Filipino spices and slow-roasted until the skin is crisp and meat tender.,1-2 hr,4,390,29,4,30,0.5,1,640,92,Medium,120,availability,Classic dish; Roasted favorite; Protein-rich; Special occasion,"Family, workers, body builder",Lunch/Dinner,Contains pork; not suitable for low-fat diets or vegetarians/vegans,"Pork belly (whole slab), salt, pepper, garlic, onion, lemongrass, bay leaf, cooking oil (for basting)",5
F013,"Steamed bun, pork filling","Siopao, baboy",https://www.marionskitchen.com/wp-content/uploads/2019/09/Chinese-BBQ-Pork-Steamed-Buns4-1200x1500.jpg,"Soft, fluffy steamed wheat bun filled with savory-sweet pork asado or braised pork mixture, a popular merienda.",20 min,4,300,12,4,8,2,6,450,25,Medium,100,availability,Classic snack; Street food favorite; Sweet-savory filling; Comfort food,"Family, Students, Workers",Snack/ Breakfast/ Lunch,Contains pork; contains wheat/gluten; contains sugar,"All-purpose flour, pork (asado or braised), soy sauce, sugar, yeast, garlic, onion, cornstarch, water, salt",5
F014,Pork afritada,Apritadang baboy,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEir8RVKP0X9BN3hpT0z6tlG-_ed2X738o-gluJJvjqh3sOIHsvvAGGhTgM0_et27bs3c675BJobVVMnvvAtALIvY6wavP1MoivC9ce6MAzgwM7BNA5B6Dsj3fizhv0y6fB8l8hw_EvxDYo/s1600/pork+afritada.jpg,"Filipino tomato-based stew with pork, potatoes, carrots, and bell peppers simmered in a savory sauce.",40 min,4,320,25,4,18,3,4,540,70,Medium,90,availability,Classic dish; Tomato-based stew; Comfort food; Family meal,"Family, Students, Workers",Lunch/Dinner,Contains pork; contains tomatoes; not vegetarian/vegan,"Pork shoulder or belly, potatoes, carrots, bell peppers, tomato sauce, garlic, onion, fish sauce, cooking oil, bay leaf",5
F015,"Pork, roasted, pinaksiw",Lechon paksiw,https://www.foxyfolksy.com/wp-content/uploads/2023/01/lechon-paksiw-1200t.jpg,Filipino dish made by simmering leftover roasted pork (lechon) in a sweet?savory vinegar?soy sauce with spices.,35 min,4,330,26,4,22,1.5,4,670,85,Medium,100,availability,Classic dish; Sweet-savory stew; Comfort food; Leftover-friendly,"Family, Students, Workers",Lunch/ Dinner,Contains pork; contains vinegar and soy sauce; not vegetarian/vegan,"Roasted pork (lechon), vinegar, soy sauce, brown sugar, garlic, onion, bay leaf, black peppercorns, lechon sauce (optional)",5
F016,"Shanghai pork roll, prep, w/ yacon",Yacon lumpiang shanghai,https://whisperofyum.com/wp-content/uploads/2021/09/pork-lumpia-shanghai.jpg,"Filipino spring rolls filled with ground pork and finely chopped yacon root, seasoned and deep-fried until crisp.",20 min,6,190,11,4,11,1,1.5,360,30,Medium,90,availability,Classic snack; Party food; Crispy favorite; Vegetable-enhanced,"Family, Students, Workers",Snack/ Lunch,Contains pork; contains wheat (lumpia wrapper); fried in oil; not vegetarian/vegan,"Ground pork, yacon root, lumpia (spring roll) wrappers, garlic, onion, carrot, salt, pepper, cooking oil, egg (binder)",5
F017,"Shanghai pork roll, prep, w/ yacon",,https://omnivorescookbook.com/wp-content/uploads/2020/12/201113_Lumpia-Shanghai_550-500x500.jpg,"Filipino spring rolls with ground pork and finely chopped yacon root, seasoned and deep-fried until crisp.",20 min,6,190,11,4,11,1,1.5,360,30,Medium,90,availability,Classic snack; Party food; Crispy favorite; Vegetable-enhanced,"Family, Students, Workers",Snack/ Lunch,Contains pork; contains wheat (lumpia wrapper); fried in oil; not vegetarian/vegan,"Ground pork, yacon root, lumpia (spring roll) wrappers, garlic, onion, carrot, salt, pepper, cooking oil, egg (binder)",5
F018,"Chicken, whole, seasoned, roasted",Lechon manok,https://www.primegourmet.ae/cdn/shop/products/roasted-whole-chicken-992937.jpg?v=1695182279&width=1946,"Whole chicken marinated in Filipino herbs and spices, then oven- or spit-roasted until tender and golden.",1 hr,4,335,30,4,20,0.5,,480,95,Medium,180,availability,Classic dish; Roasted favorite; Protein-rich; Family meal,"Family, Students, Workers, Bodybuilders",Lunch/Dinner,Contains poultry; not vegetarian/vegan,"Whole chicken, lemongrass, garlic, onion, soy sauce, calamansi or lemon juice, black pepper, bay leaf, cooking oil",5
F019,"Vegetable stir-fry w/ quail eggs, prep, w/ yacon","Yacon w/ quail eggs	",https://www.sheknows.com/wp-content/uploads/2018/08/kaq1cftikjuy22exlxxc.jpeg,"Quick Filipino stir-fry of mixed vegetables and yacon slices, finished with boiled quail eggs for protein.",10 min,4,160,8,4,6,4,5,260,20,Easy,85,availability,Classic dish; High-fiber; Light & healthy; Quick-cook,"Family, Students, Workers, Seniors",Lunch/Dinner,Contains eggs; vegetarian-friendly if fish sauce is omitted,"Yacon root, quail eggs, carrots, cabbage, green beans, garlic, onion, soy sauce or fish sauce, cooking oil",4
F020,"Steamed bun, mung bean filling","Siopao, munggo",https://www.delicioussiomai.com/cdn/shop/products/MonggoPao_2048x.png?v=1608728829,"Soft steamed wheat bun filled with sweetened mung bean paste, popular as a Filipino merienda or breakfast.",20 min,4,280,9,4,6,4,16,350,10,Medium,90,availability,Classic snack; Sweet filling; Street food favorite; Comfort food,"Family, Students, Workers",Snack/Breakfast,Contains wheat/gluten; contains sugar; vegetarian-friendly,"All-purpose flour, mung beans, sugar, yeast, cooking oil, salt, water",5
F021,"Banana, saba, w/ sugar, wrapped, fried","Turon, saging saba",https://www.thelittleepicurean.com/wp-content/uploads/2018/02/turon-filipino-fried-banana-rolls-4.jpg,"Filipino snack of ripe saba banana and sometimes jackfruit, coated with sugar, wrapped in lumpia wrapper, and deep-fried until crisp.",10 min,4,180,1,4,5,2,18,60,,Easy,50,availability,Classic snack; Sweet treat; Street food favorite; Crispy dessert,"Family, Students, Workers",Snack/Dessert,Contains wheat (lumpia wrapper); vegetarian,"Saba bananas, brown sugar, lumpia wrappers, jackfruit (optional), cooking oil",5
F022,"Banana, saba, w/ sugar, fried",Banana cue,https://www.recipesbynora.com/wp-content/uploads/2024/04/Banana-Cue-Caramelized-Bananas.jpg,"Caramelized deep-fried ripe saba bananas coated in brown sugar, a popular Filipino street snack.",8 min,4,160,1,4,4,2,17,40,,Easy,45,availability,Classic snack; Sweet treat; Street food favorite; Caramelized banana,"Family, Students, Workers",Snack/Dessert,Vegetarian,"Saba bananas, brown sugar, cooking oil",5
F023,"Rice cake (glutinous), bibingka","Bibingka, malagkit",https://food.fnr.sndimg.com/content/dam/images/food/fullset/2022/07/15/0/FNK_Bibingka_H1_s4x3.jpg.rend.hgtvcom.616.462.suffix/1657896994353.webp,"Traditional Filipino sticky rice cake made from glutinous rice cooked with coconut milk and sugar, often served during holidays.",45 min,6,210,4,4,5,2,16,80,,Medium,90,availability,Classic dessert; Rice cake; Coconut-flavored; Holiday favorite,"Family, Students, Workers",Snack/Dessert,Contains coconut milk; gluten-free if pure rice is used,"Glutinous rice, coconut milk, sugar, salt, banana leaves",5
F024,"Rice cake, bibingka",Bibingkang galapong,https://cdn.apartmenttherapy.info/image/upload/f_jpg,"Soft Filipino rice cake made with fermented rice batter, coconut milk, and sugar, traditionally baked in clay pots lined with banana leaves.",40 min,6,230,5,4,6,2,230,90,4,Medium,70-95,year-round,Classic dessert; Rice cake; Coconut-flavored; Holiday favorite,"Family, Students, Workers",Snack/Dessert,Contains coconut milk; gluten-free if pure rice is used,"Rice flour (galapong), coconut milk, sugar, baking powder, salt, banana leaves",5
F025,"Rice cake, bibingka, w/ cheese & coconut topping","Bibingkang galapong, may keso at niyog",https://cinnamonsnail.com/wp-content/uploads/2025/08/Bibingka-04.jpg,"Traditional Filipino rice cake (galapong) baked with coconut milk, topped with cheese and freshly grated coconut for added flavor and texture.",40 min,6,250,6,4,7,2,19,120,15,Medium,105,availability,Classic dessert; Rice cake; Cheese-topped; Holiday favorite,"Family, Students, Workers",Snack/Dessert,Contains coconut milk; contains dairy (cheese); gluten-free if pure rice is used,"Rice flour (galapong), coconut milk, sugar, cheese, grated coconut, baking powder, banana leaves",5
F026,"Cassava cake, bibingka","Kamoteng kahoy, bibingka	",https://www.thelittleepicurean.com/wp-content/uploads/2019/02/cassava-bibingka-1.jpg,"Filipino baked dessert made from grated cassava mixed with coconut milk, sugar, and condensed milk, baked until firm and slightly caramelized on top.",45 min,6,280,4,4,9,2,21,95,25,Medium,100,availability,Classic dessert; Cassava-based; Coconut-flavored; Holiday favorite,"Family, Students, Workers",Snack/Dessert,Contains coconut milk; contains dairy (condensed milk); gluten-free if pure cassava is used,"Grated cassava, coconut milk, condensed milk, evaporated milk, sugar, butter, eggs",5
F027,Creme custard,Leche flan,https://dinnerthendessert.com/wp-content/uploads/2023/11/Creme-Caramel-21.jpg,"Rich Filipino caramel custard made with egg yolks, condensed milk, and caramelized sugar, steamed or baked until smooth and creamy.",45 min,6,310,7,4,12,0,35,95,30,Medium,110,availability,Classic dessert; Creamy custard; Special occasion; Party favorite,"Family, Students, Workers",Snack/Dessert,Contains eggs; contains dairy; gluten-free,"Egg yolks, condensed milk, evaporated milk, sugar, vanilla extract",5
F028,Corn pudding,"Maja blanca	",https://www.allrecipes.com/thmb/rQezdrbxM57vhFGJwxb_7KsnMpY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8145774-bf07adbb86584863a018050fdaf25e6c.jpg,"Creamy Filipino pudding made with coconut milk, cornstarch, sugar, and corn kernels, served chilled and topped with toasted coconut.",20 min,6,230,3,4,9,1.5,18,80,,Easy,90,availability,Classic dessert; Coconut-based; Creamy pudding; Party favorite,"Family, Students, Workers",Snack/Dessert,Contains coconut milk; vegetarian-friendly,"Coconut milk, cornstarch, sugar, sweet corn kernels, evaporated milk, toasted grated coconut (optional)",5
F029,"Corn pudding, w/ grtd coconut topping","Maja blanca, may niyog",https://i0.wp.com/www.Iankewks.com/wp-content/uploads/2024/11/IMG_0182.jpg?resize=800%2C530&ssl=1,Traditional Maja blanca topped generously with freshly grated coconut for added flavor and texture.,20 min,6,240,3,4,10,2,20,85,,Easy,95,availability,Classic dessert; Coconut-based; Creamy pudding; Coconut-topped,"Family, Students, Workers",Snack/Dessert,Contains coconut milk; vegetarian-friendly,"Coconut milk, cornstarch, sugar, sweet corn kernels, grated coconut topping",5
F030,Kamoteng kahoy," suman""",https://www.kawalingpinoy.com/wp-content/uploads/2019/01/easy-cassava-suman-2.jpg,"Filipino delicacy of grated cassava mixed with coconut milk and sugar, wrapped in banana leaves and steamed until firm.",40 min,6,260,4,4,8,2,18,60,,Medium,90,availability,Classic dessert; Cassava-based; Coconut-flavored; Wrapped delicacy,"Family, Students, Workers",Snack/Dessert,Contains coconut milk; gluten-free if pure cassava is used,"Grated cassava, coconut milk, sugar, banana leaves",5
F031,"Rice prep (glutinous), suman, w/ grtd coconut topping","Suman maruwekos, may niyog",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRq0OOWaM7nj-p0B5e_3_7RDd1RECNVkJdjOyXkTfh-V8ThfxUVlM3ua14Or6FMg0noQlg&usqp=CAU,"Filipino sticky rice delicacy wrapped in banana leaves, steamed and served with freshly grated coconut and sugar.",40 min,6,210,4,4,4,2,6,50,,Medium,80,availability,Classic dessert; Rice cake; Coconut-topped; Traditional merienda,"Family, Students, Workers",Snack/Dessert,Gluten-free if pure rice is used; vegetarian,"Glutinous rice, coconut milk, sugar, banana leaves, grated coconut",5
F032,"Rice prep (glutinous), suman, lye-treated",Suman sa lihiya,https://www.recipesbynora.com/wp-content/uploads/2024/04/Suman-sa-Lihiya-Recipe.jpg,"Traditional Filipino glutinous rice cake soaked in lye water, wrapped in banana leaves, then steamed, usually served with sugar or coconut sauce.",45 min,6,200,4,4,3,1.5,5,55,,Medium,80,availability,Classic dessert; Rice cake; Lye-treated; Special occasion,"Family, Students, Workers",Snack/Dessert,Gluten-free if pure rice is used; vegetarian,"Glutinous rice, lye water, coconut milk, sugar, banana leaves",5
F033,"Rice prep (glutinous), suman sa ibos",Suman sa ibos,https://panlasangpinoy.com/wp-content/uploads/2013/04/Suman-sa-Ibos-Recipe.jpg,"Filipino sticky rice wrapped in palm (ibos) leaves, lightly sweetened and steamed; often served with latik or sugar.",40 min,6,205,4,4,3,1.5,5,55,,Medium,80,availability,Classic dessert; Rice cake; Palm-wrapped; Traditional merienda,"Family, Students, Workers",Snack/Dessert,Gluten-free if pure rice is used; vegetarian,"Glutinous rice, coconut milk, sugar, salt, palm/ibos leaves",5
F034,"Corn pudding, maja, yellow","Maja, mais",https://i.pinimg.com/736x/78/c9/67/78c9676086bf8d3e157cf0c6b3e7c054.jpg,"Creamy Filipino corn pudding made with coconut milk, cornstarch, sugar, and yellow corn kernels, served chilled.",20 min,6,230,3,4,9,1.5,18,80,,Easy,90,availability,Classic dessert; Coconut-based; Corn pudding; Party favorite,"Family, Students, Workers",Snack/Dessert,Contains coconut milk; vegetarian-friendly,"Coconut milk, yellow corn kernels, cornstarch, sugar, evaporated milk, toasted grated coconut (optional)",5
F035,"Corn pudding, maja, yellow w/ grtd coconut topping	","Maja, mais, may niyog",https://dirtydishesmessykisses.com/wp-content/uploads/2024/08/maja-blanca-coconut-pudding-recipe-1722499079.jpg,Yellow corn pudding prepared with coconut milk and topped with freshly grated coconut for extra flavor and texture.,20 min,6,240,3,4,10,2,20,85,,Easy,95,availability,Classic dessert; Coconut-based; Corn pudding; Coconut-topped,"Family, Students, Workers",Snack/Dessert,Contains coconut milk; vegetarian-friendly,"Coconut milk, yellow corn kernels, cornstarch, sugar, grated coconut topping",5
F036,"Macaroni salad, prep, w/ yacon",Yacon macaroni salad,https://preppykitchen.com/wp-content/uploads/2025/05/macaroni-salad-recipe-card-500x375.jpg,"Chilled Filipino-style macaroni salad with diced yacon root for added crunch, mixed with mayonnaise, fruit, and cheese.",10 min,6,290,7,4,12,2,8,260,25,Easy,110,availability,Classic salad; Sweet-savory; Party favorite; Holiday dish,"Family, Students, Workers",Snack/Dessert,"Contains dairy (cheese, mayonnaise); contains gluten (pasta); not vegan","Elbow macaroni, yacon root, mayonnaise, condensed milk, cheese, fruit cocktail, raisins, sugar, salt",5
F037,"Rice cake (glutinous), biko",Biko/Sinukmani,https://i0.wp.com/www.Iankewks.com/wp-content/uploads/2024/10/IMG_9428.jpg?resize=800%2C1055&ssl=1,"Traditional Filipino sticky rice cake made with glutinous rice, coconut milk, and brown sugar, topped with latik (coconut curds).",45 min,6,260,4,4,6,2,18,65,,Medium,90,availability,Classic dessert; Rice cake; Coconut-flavored; Holiday favorite,"Family, Students, Workers",Snack/Dessert,Contains coconut milk; gluten-free if pure rice is used,"Glutinous rice, coconut milk, brown sugar, salt, banana leaves",5
F038,"Rice cake (glutinous), biko, w/ grtd coconut topping","Biko/Sinukmani, may niyog",https://cdn.shortpixel.ai/spai2/q_glossy+w_977+to_auto+ret_img/www.hungryhuy.com/wp-content/uploads/biko-rice-cake-on-banana-leaf.jpg,Sticky rice cake (biko) topped with freshly grated coconut for extra texture and flavor.,45 min,6,270,4,4,7,2,19,70,,Medium,95,availability,Classic dessert; Rice cake; Coconut-topped; Holiday favorite,"Family, Students, Workers",Snack/Dessert,Contains coconut milk; gluten-free if pure rice is used,"Glutinous rice, coconut milk, brown sugar, grated coconut, salt, banana leaves",5
F039,"Rice cake (glutinous), biko, w/ purple rice","Biko, may pirurutong",https://www.kawalingpinoy.com/wp-content/uploads/2019/12/biko-ube-1.jpg,"Biko variation using a mix of white and purple (pirurutong) glutinous rice, giving a distinct color and richer flavor.",45 min,6,265,4,4,6,2,18,65,,Medium,95,availability,Classic dessert; Rice cake; Purple rice; Holiday favorite,"Family, Students, Workers",Snack/Dessert,Contains coconut milk; gluten-free if pure rice is used,"White glutinous rice, purple glutinous rice (pirurutong), coconut milk, brown sugar, salt, banana leaves",5
F040,Rice prep (glutinous),Sapin-sapin,https://yummykitchentv.com/wp-content/uploads/2022/06/sapin-sapin-image.jpg,"Colorful layered Filipino rice cake made of glutinous rice flour, coconut milk, and sugar, flavored with ube and jackfruit, then steamed until set.",45 min,6,240,4,4,7,2,20,70,,Medium,100,availability,Classic dessert; Layered rice cake; Colorful; Holiday favorite,"Family, Students, Workers",Snack/Dessert,Contains coconut milk; gluten-free if pure rice is used,"Glutinous rice flour, coconut milk, sugar, ube flavoring or halaya, jackfruit, food coloring (optional), banana leaves",5
F041,"Rice cake, puto bumbong, purple",Puto bumbong,https://kusinasecrets.com/wp-content/uploads/2024/11/image-108.webps,"Traditional Filipino purple rice cake steamed in bamboo tubes, brushed with butter and topped with grated coconut and brown sugar.",20 min,4,180,3,4,4,2,10,40,,Medium,80,availability,Classic dessert; Holiday favorite; Rice cake; Street food,"Family, Students, Workers",Snack/Dessert,Gluten-free if pure rice is used; vegetarian,"Glutinous purple rice, butter, brown sugar, grated coconut, banana leaves",5
F042,Rice gruel w/ choc & milk,"Champorado, may gatas",https://yummykitchentv.com/champorado/,"Filipino chocolate rice porridge made with glutinous rice and cocoa, sweetened and served with milk.",25 min,4,210,4,4,4,2,18,60,,Easy,70,availability,Classic breakfast; Chocolate-flavored; Comfort food,"Family, Students, Workers","Breakfast, Snack",Contains dairy if milk is added; gluten-free if pure rice is used,"Glutinous rice, cocoa or tablea chocolate, sugar, milk (evaporated or condensed), water, salt",5
F043,Meat pie,Empanada,https://www.jocooks.com/wp-content/uploads/2019/06/beef-empanadas-1-19.jpg,Filipino baked or fried pastry filled with savory meat (often pork or chicken) and vegetables.,20 min,6,250,9,4,12,1.5,2,260,30,Medium,120,availability,Classic snack; Savory pastry; Street food,"Family, Students, Workers","Snack, Lunch",Contains wheat/gluten; contains meat; not vegetarian,"All-purpose flour, butter, water, ground pork or chicken, potato, carrot, onion, garlic, seasoning, cooking oil",5
F044,Soybean pudding/Geerlig's cheese w/ syrup & tapioca starch ball,"Taho/Tahu, may arnibal at sago",https://cdn.jwplayer.com/v2/media/QJY39cip/poster.jpg?width=1920,"Soft fresh tofu served warm with brown sugar syrup (arnibal) and sago pearls, a popular Filipino morning snack.",5 min,4,150,6,4,2,1,15,30,,Easy,60,availability,Classic breakfast; Protein-rich; Sweet treat; Street food,"Family, Students, Workers","Breakfast, Snack",Contains soy; vegetarian; gluten-free,"Soft/ silken tofu, brown sugar, water, vanilla, tapioca pearls (sago)",5
F045,"Pork crackling, skin","Chicharon/Sitsaron baboy, balat",https://www.kawalingpinoy.com/wp-content/uploads/2019/03/pork-chicharon-3-1-500x500.jpg,"Deep-fried pork skin seasoned until light and crispy, enjoyed as a snack or pulutan (beer companion).",45 min,4,300,20,4,24,0,0,450,95,Medium,100,availability,Classic snack; Crispy treat; Pulutan favorite,"Family, Students, Workers","Snack, Appetizer",Contains pork; not vegetarian/vegan,"Pork skin, salt, pepper, vinegar (for boiling), water, oil for deep-frying",5
F046,Glutinous rice w/ mung bean & cocomilk,Ginataang munggo,https://salu-salo.com/wp-content/uploads/2018/02/Ginataang-Munggo-Sticky-Rice-with-Mung-Beans-and-Coconut-Milk-3.jpg,"Filipino dessert porridge of toasted mung beans cooked with glutinous rice, coconut milk, and sugar until creamy and fragrant.",30 min,4,240,6,4,6,3,15,60,,Easy,80,availability,Classic dessert; Coconut-based; Warm porridge; Comfort food,"Family, Students, Workers","Snack, Dessert",Contains coconut milk; vegetarian-friendly,"Glutinous rice, toasted mung beans, coconut milk, sugar, water, pinch of salt",5
F047,"Mango, piko, ripe","Mangga, piko, hinog",https://global.discourse-cdn.com/schizophrenia/uploads/default/original/3X/8/1/81c619fb0e655e2bd989ce010bb591222cada618.jpeg,"Fresh ripe piko variety mango, sweet and aromatic, eaten as a fruit snack or dessert.",,1,60,0.6,4,0.2,1.6,14,1,,Easy,30,availability,Fresh fruit; Vitamin-rich; Sweet tropical fruit,"Family, Students, Workers","Snack, Dessert",Vegetarian; vegan; gluten-free,Ripe piko mango,5
F048,"Mango, Indian, unripe","Mangga, Indiyan, hilaw",https://media.philstar.com/photos/2025/03/04/indian-mangoes_2025-03-04_19-20-52.jpg,"Tart green Indian mango, commonly eaten with salt or bagoong as a refreshing snack.",,1,50,0.6,4,0.2,1.5,9,2,,Easy,25,availability,Fresh fruit; Tangy flavor; Vitamin-rich; Snackable,"Family, Students, Workers",Snack,Vegetarian; vegan; gluten-free,Unripe Indian mango,5
F049,"Mango, Manila super, ripe","Mangga, kalabaw, hinog",https://pbs.twimg.com/media/DsSUuCnUUAEXvuF.jpg,"Iconic Philippine ?carabao? mango, exceptionally sweet and fragrant, enjoyed fresh or in desserts.",,1,65,0.7,4,0.2,1.7,15,1,,Easy,35,availability,Fresh fruit; Sweet tropical fruit; Vitamin-rich,"Family, Students, Workers","Snack, Dessert",Vegetarian; vegan; gluten-free,Ripe Manila Super (carabao) mango,5
F050,Mangosteen,Mangosteen,https://draxe.com/wp-content/uploads/2016/07/MangosteenThumbnail.jpg,"Purple tropical fruit with thick rind and juicy sweet-tart white segments, prized for antioxidants and vitamins.",,1,70,0.9,4,0.6,1.8,16,1,,Easy,40,availability,Fresh fruit; Antioxidant-rich; Sweet-tart tropical fruit,"Family, Students, Workers","Snack, Dessert",Vegetarian; vegan; gluten-free,Fresh mangosteen fruit,5
